FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
1,1235001,JRG Żory,324345427,324345438,JRG,ŚLĄSKIE,Żory,Żory,Żory,Ogniowa 10,44-240,18.6732805556,50.050525,18.6732805556,50.050525
2,741001,JRG Żuromin,236572398,236572398,JRG,MAZOWIECKIE,żuromiński,Żuromin,Żuromin,Warszawska 25,09-300,19.9122305556,53.0647583333,19.9122305556,53.0647583333
3,742001,JRG Żyrardów,468553549,468556125,JRG,MAZOWIECKIE,żyrardowski,Żyrardów,Żyrardów,1-go Maja 61B,96-300,20.4335583333,52.059675,20.4335583333,52.059675
4,1236001,JRG Żywiec,338630400,338630400,JRG,ŚLĄSKIE,żywiecki,Żywiec,Żywiec,Objazdowa 2,34-300,19.1883194444,49.6824388889,19.1883194444,49.6824388889
5,306001,JRG 1 Chełm,825653428 wew.: 82565,825604850 wew.: 82560,JRG,LUBELSKIE,Chełm,Chełm,Chełm,Prym. S. Wyszyńskiego 2B,22-100,23.4950583333,51.1272472222,23.4950583333,51.1272472222
6,211001,JRG 1 Inowrocław, ,477513400,JRG,KUJAWSKO-POMORSKIE,inowrocławski,Inowrocław (gmina miejska),Inowrocław,Poznańska 133,88-100,18.2582833333,52.7800833333,18.2582833333,52.7800833333
7,805001,JRG 1 Kędzierzyn-Koźle,478626541,478616510,JRG,OPOLSKIE,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Kędzierzyn-Koźle,Mostowa 33,47-223,18.2436222222,50.3120666667,18.2436222222,50.3120666667
8,301001,JRG 1 Lublin,815351330,815351330,JRG,LUBELSKIE,Lublin,Lublin,Lublin,Antoniego Szczerbowskiego 6,20-012,22.5555555556,51.2394444444,22.5555555556,51.2394444444
9,913001,JRG 1 Mielec,177800970,177800998,JRG,PODKARPACKIE,mielecki,Mielec (gmina miejska),Mielec,Sienkiewicza 54,39-300,21.4241833333,50.2924666667,21.4241833333,50.2924666667
10,1501001,JRG 1 Poznań,612220410 wew.: 20410,477716414 wew.: 6414,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Wolnica 1,61-764,16.9328333333,52.4108055556,16.9328333333,52.4108055556
11,618001,JRG 1 Tarnów,478314115,478314111,JRG,MAŁOPOLSKIE,Tarnów,Tarnów,Tarnów,Klikowska 39,33-100,20.9738805556,50.0217,20.9738805556,50.0217
12,125001,JRG 1 Wałbrzych,748877213,748877213,JRG,DOLNOŚLĄSKIE,Wałbrzych,Wałbrzych,Wałbrzych,Przemysłowa 1,58-300,16.2780555556,50.7641666667,16.2780555556,50.7641666667
13,306002,JRG 2 Chełm,825653428 wew.: 82565,825604850 wew.: 82560,JRG,LUBELSKIE,Chełm,Chełm,Chełm,Okszowska 9,22-100,23.4829694444,51.1428972222,23.4829694444,51.1428972222
14,211002,JRG 2 Inowrocław, ,477513400,JRG,KUJAWSKO-POMORSKIE,inowrocławski,Inowrocław (gmina miejska),Inowrocław,M.Skłodowskiej-Curie  62,88-100,18.2726138889,52.8049638889,18.2726138889,52.8049638889
15,805002,JRG 2 Kędzierzyn-Koźle,478616521,478616510,JRG,OPOLSKIE,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Kędzierzyn-Koźle,Kraszewskiego 12,47-200,18.1406138889,50.3344861111,18.1406138889,50.3344861111
16,301002,JRG 2 Lublin,817445906,817445906,JRG,LUBELSKIE,Lublin,Lublin,Lublin,Zemborzycka 94,20-445,22.5666666667,51.2063888889,22.5666666667,51.2063888889
17,913002,JRG 2 Mielec,177800960,177800960,JRG,PODKARPACKIE,mielecki,Mielec (gmina miejska),Mielec,Wojska Polskiego 3,39-300,21.4588555556,50.3069138889,21.4588555556,50.3069138889
18,1501002,JRG 2 Poznań,612220420 wew.: 20420,477716421 wew.: 6421,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Grunwaldzka 16a,60-782,16.9023611111,52.4053611111,16.9023611111,52.4053611111
19,618002,JRG 2 Tarnów, ,478314120,JRG,MAŁOPOLSKIE,Tarnów,Tarnów,Tarnów,Błonie 2A,33-100,21.0106,50.0357194444,21.0106,50.0357194444
20,125002,JRG 2 Wałbrzych,748877220,748877220,JRG,DOLNOŚLĄSKIE,Wałbrzych,Wałbrzych,Wałbrzych,Ogrodowa 20,58-306,16.285,50.8188888889,16.285,50.8188888889
21,301003,JRG 3 Lublin,817462072,817462072,JRG,LUBELSKIE,Lublin,Lublin,Lublin,Antoniny Grygowej 8,20-234,22.6377777778,51.2388888889,22.6377777778,51.2388888889
22,1501003,JRG 3 Poznań,612220430 wew.: 20430,477716431 wew.: 6431,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Warszawska 349,61-057,17.0352222222,52.4083611111,17.0352222222,52.4083611111
23,301004,JRG 4 Lublin,817474930,817474930,JRG,LUBELSKIE,Lublin,Lublin,Lublin,Stanisława Węglarza 4,20-147,22.5772222222,51.2705555556,22.5772222222,51.2705555556
24,1501004,JRG 4 Poznań,612220440 wew.: 20440,477716441 wew.: 6441,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Stefanii Wojtulanis-Karpińskiej 7,60-406,16.8454444444,52.4249166667,16.8454444444,52.4249166667
25,1501005,JRG 5 Poznań,612220450 wew.: 20450,477716451 wew.: 6451,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Bolesława Chrobrego 122,60-681,16.9115277778,52.4505833333,16.9115277778,52.4505833333
26,1501006,JRG 6 Poznań,612220460 wew.: 20460,477716461 wew.: 6461,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Rudzka 1,61-323,16.9869722222,52.3435277778,16.9869722222,52.3435277778
27,1501007,JRG 7 Poznań,612220470 wew.: 20470,477716471 wew.: 6471,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Bobrzańska 6,61-248,16.9670277778,52.3863888889,16.9670277778,52.3863888889
28,1502001,JRG 8 Bolechowo,612220480 wew.: 20480,477716481 wew.: 6481,JRG,WIELKOPOLSKIE,poznański,Czerwonak,Bolechowo,Obornicka 1,62-005,16.9743611111,52.5495833333,16.9743611111,52.5495833333
29,1502002,JRG 9 Mosina,612220490 wew.: 20490,477716491 wew.: 6491,JRG,WIELKOPOLSKIE,poznański,Mosina,Mosina,Śremska 87,62-050,16.8484083333,52.2414083333,16.8484083333,52.2414083333
30,203001,JRG Aleksandrów Kujawski, ,477513001,JRG,KUJAWSKO-POMORSKIE,aleksandrowski,Aleksandrów Kujawski (gmina miejska),Aleksandrów Kujawski,Halinowo 2a,87-700,18.7075361111,52.8646388889,18.7075361111,52.8646388889
31,620001,JRG Andrychów,338756334,478317680,JRG,MAŁOPOLSKIE,wadowicki,Andrychów,Andrychów,Krakowska 89,34-120,19.3317944444,49.8556611111,19.3317944444,49.8556611111
32,1003001,JRG Augustów,477118010,477118001,JRG,PODLASKIE,augustowski,Augustów (gmina miejska),Augustów,Brzostowskiego 2,16-300,22.9901638889,53.8391777778,22.9901638889,53.8391777778
33,1403001,JRG Bartoszyce,477329140,477329140,JRG,WARMIŃSKO-MAZURSKIE,bartoszycki,Bartoszyce (gmina miejska),Bartoszyce,Bema 36,11-200,20.8025861111,54.2622055556,20.8025861111,54.2622055556
34,503001,JRG Bełchatów,446338200,446338201,JRG,ŁÓDZKIE,bełchatowski,Bełchatów (gmina miejska),Bełchatów,Wspólna 7,97-400,19.3941305556,51.3705,19.3941305556,51.3705
35,302001,JRG Bełżyce,815172291,815172291,JRG,LUBELSKIE,lubelski,Bełżyce,Bełżyce,ks. bp. Tomasza Wilczyńskiego 7,24-200,22.2811111111,51.1711111111,22.2811111111,51.1711111111
36,1202001,JRG Będzin,478517023,478517021,JRG,ŚLĄSKIE,będziński,Będzin,Będzin,Modrzejowska 74,42-500,19.1322194444,50.3194388889,19.1322194444,50.3194388889
37,303001,JRG Biała Podlaska,833447251,606625568,JRG,LUBELSKIE,Biała Podlaska,Biała Podlaska,Biała Podlaska,Sidorska 93,21-500,23.157425,52.023675,23.157425,52.023675
38,703001,JRG Białobrzegi,486132336,486132281,JRG,MAZOWIECKIE,białobrzeski,Białobrzegi,Białobrzegi,Mikołaja Kopernika 4,26-800,20.9557638889,51.6444,20.9557638889,51.6444
39,1602001,JRG Białogard,943120323,943120320,JRG,ZACHODNIOPOMORSKIE,białogardzki,Białogard (gmina miejska),Białogard,Szosa Połczyńska 1,78-200,15.9953416667,53.9981138889,15.9953416667,53.9981138889
40,1004001,JRG Bielsk Podlaski,477118051,477118051,JRG,PODLASKIE,bielski,Bielsk Podlaski (gmina miejska),Bielsk Podlaski,Poniatowskiego 11,17-100,23.1944444444,52.7666666667,23.1944444444,52.7666666667
41,305001,JRG Biłgoraj,846880010,846880012,JRG,LUBELSKIE,biłgorajski,Biłgoraj (gmina miejska),Biłgoraj,Gen. H. Dąbrowskiego 10,23-400,22.7174666667,50.5345916667,22.7174666667,50.5345916667
42,1402001,JRG Biskupiec,477319262,477319262,JRG,WARMIŃSKO-MAZURSKIE,olsztyński,Biskupiec,Biskupiec,Sądowa 6,11-300,20.9561277778,53.8611777778,20.9561277778,53.8611777778
43,702001,JRG Błonie, ,227255111,JRG,MAZOWIECKIE,warszawski zachodni,Błonie,Błonie,Lesznowska 20a,05-870,20.6136194444,52.2058083333,20.6136194444,52.2058083333
44,603001,JRG Bochnia,478314200,478314213,JRG,MAŁOPOLSKIE,bocheński,Bochnia (gmina miejska),Bochnia,Ks. Józefa Poniatowskiego 7,32-700,20.4379166667,49.9759972222,20.4379166667,49.9759972222
45,129001,JRG Bogatynia,757732940, ,JRG,DOLNOŚLĄSKIE,zgorzelecki,Bogatynia,Bogatynia,Żołnierzy II Armii Wojska Polskiego 4,59-920,14.9605694444,50.9028888889,14.9605694444,50.9028888889
46,103001,JRG Bolesławiec,756443317,756443317,JRG,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec (gmina miejska),Bolesławiec,Wesoła 2,59-700,15.5580555556,51.2652777778,15.5580555556,51.2652777778
47,1404001,JRG Braniewo, ,477329195,JRG,WARMIŃSKO-MAZURSKIE,braniewski,Braniewo (gmina miejska),Braniewo,Pl. Strażacki 2,14-500,19.8240166667,54.3834861111,19.8240166667,54.3834861111
48,204001,JRG Brodnica, ,477513100,JRG,KUJAWSKO-POMORSKIE,brodnicki,Brodnica (gmina miejska),Brodnica,Sienkiewicza 23,87-300,19.3959444444,53.2586944444,19.3959444444,53.2586944444
49,803001,JRG Brzeg,478616301, ,JRG,OPOLSKIE,brzeski,Brzeg,Brzeg,Saperska 16,49-300,17.4958194444,50.8497833333,17.4958194444,50.8497833333
50,604001,JRG Brzesko, ,146865010,JRG,MAŁOPOLSKIE,brzeski,Brzesko,Brzesko,Solskiego 16,32-800,20.616,49.9742777778,20.616,49.9742777778
51,524001,JRG Brzeziny,468752731,468752732,JRG,ŁÓDZKIE,brzeziński,Brzeziny (gmina miejska),Brzeziny,Waryńskiego 55,95-060,19.7498833333,51.8193333333,19.7498833333,51.8193333333
52,903001,JRG Brzozów,134341141 wew.: 10,134341141 wew.: 20,JRG,PODKARPACKIE,brzozowski,Brzozów,Brzozów,Mickiewicza 1,36-200,22.0227777778,49.6967777778,22.0227777778,49.6967777778
53,1303001,JRG Busko Zdrój, ,478018100,JRG,ŚWIĘTOKRZYSKIE,buski,Busko-Zdrój,Busko Zdrój,Waryńskiego 29a,28-100,20.7035166667,50.4594888889,20.7035166667,50.4594888889
54,302002,JRG Bychawa,815660088,815660001,JRG,LUBELSKIE,lubelski,Bychawa,Bychawa,Armii Krajowej 2,23-100,22.5341666667,51.0122222222,22.5341666667,51.0122222222
55,111001,JRG Bystrzyca Kłodzka,748115400,748115400,JRG,DOLNOŚLĄSKIE,kłodzki,Bystrzyca Kłodzka,Bystrzyca Klodzka,Mickiewicza 1,57-500,16.6472,50.2992222222,16.6472,50.2992222222
56,1205001,JRG Bytom,478510200,478510200,JRG,ŚLĄSKIE,Bytom,Bytom,Bytom,Łużycka 21,41-902,18.8958444444,50.3561305556,18.8958444444,50.3561305556
57,1102001,JRG Bytów,477418010,477418010,JRG,POMORSKIE,bytowski,Bytów,Bytów,Gen. Józefa Wybickiego 9,77-100,17.4938416667,54.184975,17.4938416667,54.184975
58,207001,JRG Chełmno, ,477513201,JRG,KUJAWSKO-POMORSKIE,chełmiński,Chełmno (gmina miejska),Chełmno,Łunawska 3a,86-200,18.4488916667,53.3513888889,18.4488916667,53.3513888889
59,202001,JRG Chełmża, ,477512690,JRG,KUJAWSKO-POMORSKIE,toruński,Chełmża (gmina miejska),Chełmża,Sądowa 2 a,87-140,18.6090361111,53.1846027778,18.6090361111,53.1846027778
60,1503001,JRG Chodzież,600825038,477717010,JRG,WIELKOPOLSKIE,chodzieski,Chodzież (gmina miejska),Chodzież,Marcinkowskiego 6,64-800,16.9136111111,52.9886111111,16.9136111111,52.9886111111
61,1103001,JRG Chojnice,523956410,523956410,JRG,POMORSKIE,chojnicki,Chojnice (gmina miejska),Chojnice,Gdańska 51,89-600,17.5824,53.6981583333,17.5824,53.6981583333
62,113001,JRG Chojnów,767522112, ,JRG,DOLNOŚLĄSKIE,legnicki,Chojnów (gmina miejska),Chojnów,Fabryczna 11,59-225,15.9429777778,51.2787666667,15.9429777778,51.2787666667
63,1206001,JRG Chorzów,478510300,478510311,JRG,ŚLĄSKIE,Chorzów,Chorzów,Chorzów,Katowicka 123,41-500,18.9512861111,50.3030888889,18.9512861111,50.3030888889
64,1603001,JRG Choszczno,957689800,957689810,JRG,ZACHODNIOPOMORSKIE,choszczeński,Choszczno,Choszczno,Bolesława Chrobrego 6,73-200,15.4192222222,53.1663638889,15.4192222222,53.1663638889
65,605001,JRG Chrzanów,478314500,478314513,JRG,MAŁOPOLSKIE,chrzanowski,Chrzanów,Chrzanów,Ks.Skorupki 3,32-500,19.3991583333,50.1459194444,19.3991583333,50.1459194444
66,704001,JRG Ciechanów,236724883,236712855,JRG,MAZOWIECKIE,ciechanowski,Ciechanów (gmina miejska),Ciechanów,Płocka 32,06-400,20.5988888889,52.8688888889,20.5988888889,52.8688888889
67,203002,JRG Ciechocinek, ,477513001,JRG,KUJAWSKO-POMORSKIE,aleksandrowski,Ciechocinek,Ciechocinek,Strażacka 1,87-720,18.7867527778,52.878575,18.7867527778,52.878575
68,1207001,JRG Cieszyn,338521106,478517191,JRG,ŚLĄSKIE,cieszyński,Cieszyn,Cieszyn,Chemików 16,43-400,18.6001305556,49.7833666667,18.6001305556,49.7833666667
69,1504001,JRG Czarnków, ,477717113,JRG,WIELKOPOLSKIE,czarnkowsko-trzcianecki,Czarnków (gmina miejska),Czarnków,Ogrodowa 1,64-700,16.56165,52.9023083333,16.56165,52.9023083333
70,1104001,JRG Człuchów,598345308,598345230,JRG,POMORSKIE,człuchowski,Człuchów (gmina miejska),Człuchów,Stefana Batorego 10,77-300,17.3563888889,53.6686111111,17.3563888889,53.6686111111
71,1210001,JRG Dąbrowa Górnicza, ,322642813,JRG,ŚLĄSKIE,Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,Podlesie 2,41-303,19.2237138889,50.3240166667,19.2237138889,50.3240166667
72,606001,JRG Dąbrowa Tarnowska,478314600,478314613,JRG,MAŁOPOLSKIE,dąbrowski,Dąbrowa Tarnowska,Dąbrowa Tarnowska,Żabieńska 20,33-200,20.9777055556,50.1658888889,20.9777055556,50.1658888889
73,1604001,JRG Drawsko Pomorskie,943632061,943630100,JRG,ZACHODNIOPOMORSKIE,drawski,Drawsko Pomorskie,Drawsko Pomorskie,Plac Marii Konopnickiej 1,78-500,15.8155638889,53.5302638889,15.8155638889,53.5302638889
74,1405001,JRG Działdowo, ,477329203,JRG,WARMIŃSKO-MAZURSKIE,działdowski,Działdowo (gmina miejska),Działdowo,Marii Curie Skłodowskiej 10,13-200,20.1755722222,53.2327888889,20.1755722222,53.2327888889
75,104001,JRG Dzierżoniów, ,748325392,JRG,DOLNOŚLĄSKIE,dzierżoniowski,Dzierżoniów (gmina miejska),Dzierżoniów,Piłsudskiego 26,58-200,16.6486111111,50.7324333333,16.6486111111,50.7324333333
76,1408001,JRG Ełk,477329300 wew.: 911,477329320,JRG,WARMIŃSKO-MAZURSKIE,ełcki,Ełk (gmina miejska),Ełk,Suwalska 50,19-300,22.3792777778,53.8309,22.3792777778,53.8309
77,705001,JRG Garwolin,256822288 wew.: 24,256822289 wew.: 20,JRG,MAZOWIECKIE,garwoliński,Garwolin (gmina miejska),Garwolin,Targowa 2A,08-400,21.6165722222,51.8915833333,21.6165722222,51.8915833333
78,1409001,JRG Giżycko,477329350,477329350,JRG,WARMIŃSKO-MAZURSKIE,giżycki,Giżycko (gmina miejska),Giżycko,Białostocka 2,11-500,21.7832333333,54.0359861111,21.7832333333,54.0359861111
79,1211001,JRG Gliwice,478510660,478510610,JRG,ŚLĄSKIE,Gliwice,Gliwice,Gliwice,Wrocławska 1,44-100,18.6743666667,50.2922166667,18.6743666667,50.2922166667
80,1211002,JRG Gliwice Łabędy,478510670,478510610,JRG,ŚLĄSKIE,Gliwice,Gliwice,Gliwice Łabędy,Mechaników 3,44-109,18.6166722222,50.3542944444,18.6166722222,50.3542944444
81,105001,JRG Głogów,768357710,768357710,JRG,DOLNOŚLĄSKIE,głogowski,Głogów (gmina miejska),Głogów,Sikorskiego 55,67-200,16.0579583333,51.6635305556,16.0579583333,51.6635305556
82,804001,JRG Głubczyce,478616400,478616410,JRG,OPOLSKIE,głubczycki,Głubczyce,Głubczyce,ks. Hugona Kołłątaja 4,48-100,17.8321111111,50.1951388889,17.8321111111,50.1951388889
83,809001,JRG Głuchołazy,478616955,478616954,JRG,OPOLSKIE,nyski,Głuchołazy,Głuchołazy,Grunwaldzka 4a,48-340,17.3885583333,50.3205583333,17.3885583333,50.3205583333
84,1505001,JRG Gniezno,477717200 wew.: 7200,477717238 wew.: 7238,JRG,WIELKOPOLSKIE,gnieźnieński,Gniezno (gmina miejska),Gniezno,B. Chrobrego 22,62-200,17.6059888889,52.5316305556,17.6059888889,52.5316305556
85,1605001,JRG Goleniów,914317900,914317917,JRG,ZACHODNIOPOMORSKIE,goleniowski,Goleniów,Goleniów,Gen. Władysława Andersa 8,72-100,14.830525,53.5593388889,14.830525,53.5593388889
86,208001,JRG Golub-Dobrzyń, ,477513300,JRG,KUJAWSKO-POMORSKIE,golubsko-dobrzyński,Golub-Dobrzyń (gmina miejska),Golub Dobrzyń,Lipnowska 9,87-400,19.0484194444,53.0980527778,19.0484194444,53.0980527778
87,1420001,JRG Gołdap,876156111 wew.: 911,876156131 wew.: 931,JRG,WARMIŃSKO-MAZURSKIE,gołdapski,Gołdap,Gołdap,Wojska Polskiego 19,19-500,22.29745,54.2988861111,22.29745,54.2988861111
88,607001,JRG Gorlice,478314300,478314313,JRG,MAŁOPOLSKIE,gorlicki,Gorlice (gmina miejska),Gorlice,11 Listopada 84,38-300,21.1658333333,49.6708333333,21.1658333333,49.6708333333
89,706001,JRG Gostynin,242360200,242360200,JRG,MAZOWIECKIE,gostyniński,Gostynin (gmina miejska),Gostynin,Przemysłowa 1,09-500,19.4651666667,52.4400472222,19.4651666667,52.4400472222
90,1506001,JRG Gostyń, ,477717315,JRG,WIELKOPOLSKIE,gostyński,Gostyń,Gostyń,Wrocławska 247,63-800,17.0109083333,51.8734083333,17.0109083333,51.8734083333
91,106001,JRG Góra,601507908,655432874,JRG,DOLNOŚLĄSKIE,górowski,Góra,Góra,Wincentego Witosa 22,56-200,16.5374166667,51.6801722222,16.5374166667,51.6801722222
92,1005001,JRG Grajewo,477118102,477118101,JRG,PODLASKIE,grajewski,Grajewo (gmina miejska),Grajewo,Wojska Polskiego 74,19-203,22.4697222222,53.6397777778,22.4697222222,53.6397777778
93,803002,JRG Grodków,478616301,478616330,JRG,OPOLSKIE,brzeski,Grodków,Grodków,Słowackiego 1,49-200,17.3806416667,50.6983472222,17.3806416667,50.6983472222
94,707001,JRG Grodzisk Mazowiecki,227555237,227555237,JRG,MAZOWIECKIE,grodziski,Grodzisk Mazowiecki,Grodzisk Mazowiecki,Żydowska 7,05-825,20.6237222222,52.1137694444,20.6237222222,52.1137694444
95,1507001,JRG Grodzisk Wielkopolski, ,477717410,JRG,WIELKOPOLSKIE,grodziski,Grodzisk Wielkopolski,Grodzisk Wielkopolski,Rakoniewicka 31,62-065,16.3641666667,52.2180555556,16.3641666667,52.2180555556
96,708001,JRG Grójec,486642388,486644138,JRG,MAZOWIECKIE,grójecki,Grójec,Grójec,Strażacka 11,05-600,20.8626694444,51.8707111111,20.8626694444,51.8707111111
97,1606001,JRG Gryfice,913847720,913847720,JRG,ZACHODNIOPOMORSKIE,gryficki,Gryfice,Gryfice,Marszałka Józefa Piłsudskiego 17D,72-300,15.1961666667,53.9147222222,15.1961666667,53.9147222222
98,1607001,JRG Gryfino,914667180,914667180,JRG,ZACHODNIOPOMORSKIE,gryfiński,Gryfino,Gryfino,Łużycka 1,74-100,14.4897861111,53.2495527778,14.4897861111,53.2495527778
99,403001,JRG Gubin,683835076,684558230,JRG,LUBUSKIE,krośnieński,Gubin (gmina miejska),Gubin,Kołłątaja 22,66-620,14.7240333333,51.9453805556,14.7240333333,51.9453805556
100,1006002,JRG Hajnówka,477118160,477118151,JRG,PODLASKIE,hajnowski,Hajnówka (gmina miejska),Hajnówka,11 Listopada 4,17-200,23.5910416667,52.7438,23.5910416667,52.7438
101,1006001,JRG Hajnówka Posterunek Czeremcha, ,477118157,JRG,PODLASKIE,hajnowski,Czeremcha,Czeremcha,Boczna 14,17-240,23.3448555556,52.5062833333,23.3448555556,52.5062833333
102,308001,JRG Hrubieszów,846962655,846970998,JRG,LUBELSKIE,hrubieszowski,Hrubieszów (gmina miejska),Hrubieszów,Gródecka 36,22-500,23.9128694444,50.8043777778,23.9128694444,50.8043777778
103,1410001,JRG Iława, ,477329480,JRG,WARMIŃSKO-MAZURSKIE,iławski,Iława (gmina miejska),Iława,Kardynała Stefana Wyszyńskiego 10,14-200,19.5699583333,53.5892638889,19.5699583333,53.5892638889
104,309001,JRG Janów Lubelski, ,158725024,JRG,LUBELSKIE,janowski,Janów Lubelski,Janów Lubelski,Piłsudskiego 56,23-300,22.4138888889,50.7069444444,22.4138888889,50.7069444444
105,1508001,JRG Jarocin,477717515 wew.: 7515, ,JRG,WIELKOPOLSKIE,jarociński,Jarocin,Jarocin,Powstańców Wlkp. 2,63-200,17.4866666667,51.9580555556,17.4866666667,51.9580555556
106,905001,JRG Jarosław, ,166215685,JRG,PODKARPACKIE,jarosławski,Jarosław (gmina miejska),Jarosław,Morawska 2,37-500,22.7096027778,50.0030888889,22.7096027778,50.0030888889
107,906001,JRG Jasło,134435800,134435811,JRG,PODKARPACKIE,jasielski,Jasło (gmina miejska),Jasło,Mickiewicza 33,38-200,21.4645722222,49.7469083333,21.4645722222,49.7469083333
108,1213001,JRG Jastrzębie Zdrój, ,324759500,JRG,ŚLĄSKIE,Jastrzębie-Zdrój,Jastrzębie-Zdrój,Jastrzębie Zdrój,Jagiełły 4,44-330,18.5834,49.9382388889,18.5834,49.9382388889
109,107001,JRG Jawor,768702643,768711230 wew.: 110,JRG,DOLNOŚLĄSKIE,jaworski,Jawor,Jawor,Kościuszki 6,59-400,16.1954305556,51.0462055556,16.1954305556,51.0462055556
110,1214001,JRG Jaworzno,478510800,478510811,JRG,ŚLĄSKIE,Jaworzno,Jaworzno,Jaworzno,Krakowska 22,43-600,19.2851805556,50.1922222222,19.2851805556,50.1922222222
111,119001,JRG Jelcz Laskowice,713188162,713188162,JRG,DOLNOŚLĄSKIE,oławski,Jelcz-Laskowice,Jelcz Laskowice,Techników 2,55-220,17.3144222222,51.0266361111,17.3144222222,51.0266361111
112,1304001,JRG Jędrzejów,413861895,413861895,JRG,ŚWIĘTOKRZYSKIE,jędrzejowski,Jędrzejów,Jędrzejów,Reymonta 5,28-300,20.2850416667,50.6488666667,20.2850416667,50.6488666667
113,110001,JRG Kamienna Góra,757447701 wew.: 20,757447701 wew.: 30,JRG,DOLNOŚLĄSKIE,kamiennogórski,Kamienna Góra (gmina miejska),Kamienna Góra,Wałbrzyska 2c,58-400,16.0351694444,50.7884583333,16.0351694444,50.7884583333
114,1608001,JRG Kamień Pomorski,913275610, ,JRG,ZACHODNIOPOMORSKIE,kamieński,Kamień Pomorski,Kamień Pomorski,Wolińska 7 d,72-400,14.7757888889,53.9626472222,14.7757888889,53.9626472222
115,1106001,JRG Kartuzy,586944444,477418411,JRG,POMORSKIE,kartuski,Kartuzy,KARTUZY,3 Maja 16a,83-300,18.2042027778,54.3364083333,18.2042027778,54.3364083333
116,1305001,JRG Kazimierza Wielka,413521119,413521119,JRG,ŚWIĘTOKRZYSKIE,kazimierski,Kazimierza Wielka,Kazimierza Wielka,Kolejowa 142,28-500,20.4796027778,50.2790638889,20.4796027778,50.2790638889
117,1511001,JRG Kępno,477717710,477717711,JRG,WIELKOPOLSKIE,kępiński,Kępno,Kępno,Broniewskiego 12,63-600,17.9830277778,51.2814722222,17.9830277778,51.2814722222
118,1411001,JRG Kętrzyn,477329500,477329505,JRG,WARMIŃSKO-MAZURSKIE,kętrzyński,Kętrzyn (gmina miejska),Kętrzyn,Plac Słowiański 1a,11-400,21.3806583333,54.0753638889,21.3806583333,54.0753638889
119,806001,JRG Kluczbork,478616600,478616698,JRG,OPOLSKIE,kluczborski,Kluczbork,Kluczbork,Krakusa 1,46-200,18.2163888889,50.9755555556,18.2163888889,50.9755555556
120,1215001,JRG Kłobuck, ,343172265,JRG,ŚLĄSKIE,kłobucki,Kłobuck,Kłobuck,Częstochowska 45,42-100,18.9464333333,50.8982555556,18.9464333333,50.8982555556
121,111002,JRG Kłodzko,748657200,748657200,JRG,DOLNOŚLĄSKIE,kłodzki,Kłodzko (gmina miejska),Kłodzko,Traugutta 7,57-300,16.6497222222,50.4380555556,16.6497222222,50.4380555556
122,1212002,JRG Knurów,478510690,478510610,JRG,ŚLĄSKIE,gliwicki,Knurów,Knurów,1-go Maja 2a,44-190,18.6714916667,50.2227083333,18.6714916667,50.2227083333
123,907001,JRG Kolbuszowa, ,172271323,JRG,PODKARPACKIE,kolbuszowski,Kolbuszowa,Kolbuszowa,Piekarska 13,36-100,21.7767305556,50.2432083333,21.7767305556,50.2432083333
